Sample Name	sample_type
SAM187	Other-Oil
SAM099	RHA-NonOil
SAM134	HA-NonOil
SAM171	HA-Oil
SAM039	HA-NonOil
SAM012	RHA-Oil
SAM021	HA-Oil
SAM107	RHA-Oil
SAM074	HA-NonOil
SAM027	HA-NonOil
SAM062	HA-Oil
SAM011	HA-NonOil
SAM219	HA-NonOil
SAM138	HA-Oil
SAM071	HA-Oil
SAM010	RHA-Oil
SAM120	RHA-Oil
SAM136	RHA-Oil
SAM013	RHA-Oil
SAM147	HA-NonOil
SAM249	HA-Oil
SAM003	HA-NonOil
SAM066	Other-Oil
SAM102	RHA-NonOil
SAM025	RHA-Oil
SAM221	HA-NonOil
SAM020	HA-Oil
SAM093	OPV
SAM002	HA-Oil
SAM153	HA-Oil
SAM096	RHA-Oil
SAM111	HA-NonOil
SAM113	HA-NonOil
SAM078	HA-NonOil
SAM203	RHA-Oil
SAM237	RHA-NonOil
SAM119	RHA-NonOil
SAM054	RHA-NonOil
SAM164	RHA-Oil
SAM259	HA
SAM105	Other-Oil
SAM207	RHA-Oil
SAM179	RHA-Oil
SAM183	HA-NonOil
SAM169	RHA-Oil
SAM056	RHA-NonOil
SAM182	HA-NonOil
SAM023	RHA-Oil
SAM251	RHA-Oil
SAM173	HA-Oil
SAM191	RHA-Oil
SAM197	HA-Oil
SAM082	Other-NonOil
SAM232	RHA-Oil
SAM176	HA-Oil
SAM240	HA-NonOil
SAM033	RHA-Oil
SAM079	Oil_introgressed
SAM118	RHA-Oil
SAM285	Landrace
SAM218	RHA-NonOil
SAM026	HA-Oil
SAM172	HA-Oil
SAM226	HA-NonOil
SAM072	RHA-NonOil
SAM069	HA-Oil
SAM133	HA-Oil
SAM063	Oil_introgressed
SAM117	RHA-NonOil
SAM242	RHA-NonOil
SAM106	RHA-Oil
SAM109	Other-Oil
SAM184	RHA-NonOil
SAM006	HA-NonOil
SAM195	RHA-Oil
SAM035	HA-NonOil
SAM022	RHA-Oil
SAM008	RHA-NonOil
SAM057	RHA-Oil
SAM053	HA-Oil
SAM233	HA-NonOil
SAM068	HA-NonOil
SAM255	OPV
SAM186	RHA-Oil
SAM185	HA-Oil
SAM188	Other-Oil
SAM261	HA
SAM262	HA
SAM181	RHA-NonOil
SAM180	RHA-Oil
SAM257	OPV
SAM258	HA
SAM260	OPV
SAM189	HA-Oil
SAM256	RHA
SAM228	HA-Oil
SAM225	HA-NonOil
SAM234	NonOil introgressed
SAM231	HA-Oil
SAM098	RHA-NonOil
SAM100	RHA-NonOil
SAM101	RHA-NonOil
SAM103	RHA-NonOil
SAM049	RHA-Oil
SAM050	HA-Oil
SAM051	OPV
SAM047	HA-Oil
SAM048	OPV
SAM052	HA-NonOil
SAM125	Oil introgressed
SAM126	Oil introgressed
SAM127	Oil introgressed
SAM124	Oil introgressed
SAM128	Oil introgressed
